Date,Open,High,Low,Close,Adj Close,Volume
2017-06-26,2567.560059,2588.830078,2394.840088,2506.469971,2506.469971,3393913024
2017-07-03,2498.560059,2916.139893,2480.469971,2518.439941,2518.439941,5831748992
2017-07-10,2525.250000,2537.159912,1843.030029,1929.819946,1929.819946,7453121024
2017-07-17,1932.619995,2900.699951,1932.619995,2730.399902,2730.399902,9947990080
2017-07-24,2732.699951,2897.449951,2450.800049,2757.179932,2757.179932,6942860928
2017-07-31,2763.239990,3293.290039,2668.590088,3213.939941,3213.939941,8137841920
2017-08-07,3212.780029,4208.390137,3180.889893,4073.260010,4073.260010,13618979840
2017-08-14,4066.100098,4484.700195,3906.179932,4087.659912,4087.659912,18573839872
2017-08-21,4090.479980,4455.700195,3674.580078,4382.879883,4382.879883,15749739904
2017-08-28,4384.450195,4975.040039,4224.640137,4582.959961,4582.959961,15582599936
2017-09-04,4591.629883,4661.000000,3951.040039,4122.939941,4122.939941,15468230272
2017-09-11,4122.470215,4344.649902,2946.620117,3582.879883,3582.879883,15563199872
2017-09-18,3591.090088,4094.070068,3553.530029,3682.840088,3682.840088,9023459008
2017-09-25,3681.580078,4403.740234,3681.580078,4403.740234,4403.740234,9599860096
2017-10-02,4395.810059,4624.140137,4164.049805,4610.479980,4610.479980,8289027968
2017-10-09,4614.520020,5852.479980,4564.250000,5678.189941,5678.189941,14840320000
2017-10-16,5687.569824,6194.879883,5151.439941,6008.419922,6008.419922,14605609856
2017-10-23,6006.000000,6255.709961,5397.879883,6153.850098,6153.850098,14982660096
2017-10-30,6114.850098,7617.479980,6040.850098,7407.410156,7407.410156,19841690624
2017-11-06,7403.220215,7776.419922,5519.009766,5950.069824,5950.069824,32340969984
2017-11-13,5938.250000,8101.910156,5844.290039,8036.490234,8036.490234,30253229824
2017-11-20,8039.069824,9522.929688,7762.709961,9330.549805,9330.549805,30501020160
2017-11-27,9352.719727,11858.700195,9202.049805,11323.200195,11323.200195,50411559424
2017-12-04,11315.400391,18353.400391,11081.799805,15455.400391,15455.400391,92115268608
2017-12-11,15427.400391,20089.000000,15404.799805,19140.800781,19140.800781,93877198848
2017-12-18,19106.400391,19371.000000,11833.000000,13925.799805,13925.799805,117256598528
2017-12-25,13995.900391,16930.900391,12350.099609,14156.400391,14156.400391,88557499392
2018-01-01,14112.200195,17712.400391,13154.700195,16477.599609,16477.599609,123814400000
2018-01-08,16476.199219,16537.900391,13105.900391,13772.000000,13772.000000,106022199296
2018-01-15,13767.299805,14445.500000,9402.290039,11600.099609,11600.099609,97932879872
2018-01-22,11633.099609,12040.299805,10129.700195,11786.299805,11786.299805,64691999232
2018-01-29,11755.500000,11875.599609,7796.490234,8277.009766,8277.009766,60810019840
2018-02-05,8270.540039,9122.549805,6048.259766,8129.970215,8129.970215,62489091072
2018-02-12,8141.430176,11349.799805,8141.430176,10551.799805,10551.799805,53626569728
2018-02-19,10552.599609,11958.500000,9407.059570,9664.730469,9664.730469,55388419584
2018-02-26,9669.429688,11528.200195,9501.730469,11512.599609,11512.599609,48902649856
2018-03-05,11532.400391,11704.099609,8513.030273,9578.629883,9578.629883,49671590400
2018-03-12,9602.929688,9937.500000,7397.990234,8223.679688,8223.679688,42075919360
2018-03-19,8344.120117,9177.370117,8182.399902,8495.780273,8495.780273,40853020160
2018-03-26,8498.469727,8530.080078,6526.870117,6844.229980,6844.229980,37970689536
2018-04-02,6844.859863,7530.939941,6575.000000,7023.520020,7023.520020,31804380416
2018-04-09,7044.319824,8338.419922,6661.990234,8329.110352,8329.110352,40915320320
2018-04-16,8337.570313,9001.639648,7881.720215,8802.459961,8802.459961,48741869568
2018-04-23,8794.389648,9745.320313,8727.089844,9419.080078,9419.080078,61882420224
2018-04-30,9426.110352,9964.500000,8891.049805,9654.799805,9654.799805,57244449280
2018-05-07,9645.669922,9665.849609,8223.500000,8723.940430,8723.940430,50119759872
2018-05-14,8713.099609,8881.120117,7974.819824,8513.250000,8513.250000,42360260096
2018-05-21,8522.330078,8557.519531,7270.959961,7368.220215,7368.220215,35808230144
2018-05-28,7371.310059,7754.890137,7090.680176,7720.250000,7720.250000,35465450496
2018-06-04,7722.529785,7753.819824,6709.069824,6786.020020,6786.020020,33010609408
2018-06-11,6799.290039,6910.180176,6285.629883,6499.270020,6499.270020,29844289792
2018-06-18,6510.069824,6822.500000,5826.410156,6173.229980,6173.229980,28592079872
2018-06-25,6171.970215,6465.509766,5835.750000,6385.819824,6385.819824,28842940160
2018-07-02,6380.379883,6885.910156,6305.700195,6773.879883,6773.879883,29906419968
2018-07-09,6775.080078,6838.680176,6136.419922,6359.640137,6359.640137,25200120064
2018-07-16,6357.009766,7594.669922,6357.009766,7418.490234,7418.490234,34261730048
2018-07-23,7414.709961,8424.269531,7409.100098,8218.459961,8218.459961,36446479872
2018-07-30,8221.580078,8235.500000,6940.700195,7068.479980,7068.479980,32425310000
2018-08-06,7062.939941,7166.549805,6109.029785,6322.689941,6322.689941,32181950000
2018-08-13,6341.359863,6617.350098,5971.049805,6506.069824,6506.069824,30898230000
2018-08-20,6500.509766,6816.790039,6297.930176,6707.259766,6707.259766,25842490000
2018-08-27,6710.799805,7306.310059,6689.709961,7272.720215,7272.720215,30229310000
2018-09-03,7279.029785,7388.430176,6197.520020,6300.859863,6300.859863,31456960000
2018-09-10,6301.569824,6596.100098,6260.209961,6517.180176,6517.180176,26405400000
2018-09-17,6514.060059,6814.560059,6208.339844,6710.629883,6710.629883,32109420000
2018-09-24,6704.770020,6785.029785,6381.859863,6625.560059,6625.560059,31328000000
2018-10-01,6619.850098,6653.299805,6454.029785,6602.950195,6602.950195,25943820000
2018-10-08,6600.189941,6675.060059,6236.470215,6290.930176,6290.930176,26462410000
2018-10-15,6292.640137,6965.060059,6258.680176,6482.350098,6482.350098,29669680000
2018-10-22,6486.049805,6543.799805,6447.029785,6486.390137,6486.390137,24188720000
2018-10-29,6492.350098,6547.140137,6294.569824,6376.129883,6376.129883,28245180000
2018-11-05,6363.620117,6552.160156,6350.169922,6411.270020,6411.270020,30472560000
2018-11-12,6411.759766,6434.209961,5358.379883,5623.540039,5623.540039,36972800000
2018-11-19,5620.779785,5620.779785,3585.060059,4009.969971,4009.969971,42533970000
2018-11-26,4015.070068,4413.020508,3643.919922,4139.877930,4139.877930,42945276472
2018-12-03,4147.323730,4155.979492,3280.228760,3614.234375,3614.234375,38386467708
2018-12-10,3612.046387,3647.332520,3191.303467,3252.839111,3252.839111,29869247431
2018-12-17,3253.123047,4198.429688,3253.123047,3998.980225,3998.980225,46021506218
2018-12-24,4000.331787,4271.792480,3642.632080,3865.952637,3865.952637,39249734918
2018-12-31,3866.839111,4093.297363,3707.231201,4076.632568,4076.632568,34343716582
2019-01-07,4078.584961,4109.020996,3544.927246,3552.953125,3552.953125,37523454177
2019-01-14,3557.311035,3758.533447,3552.285156,3601.013672,3601.013672,38588596987
2019-01-21,3600.372803,3654.933105,3539.721436,3583.965820,3583.965820,36949379050
2019-01-28,3584.283203,3586.750977,3400.819824,3464.013428,3464.013428,40130888766
2019-02-04,3467.211670,3695.614014,3391.023682,3690.188232,3690.188232,41224140801
2019-02-11,3695.613037,3695.613037,3607.697754,3673.836182,3673.836182,44533597993
2019-02-18,3671.369873,4210.641602,3669.982422,3810.427490,3810.427490,63853356366
2019-02-25,3807.002441,3913.707275,3787.058838,3847.175781,3847.175781,56444684748
2019-03-04,3845.091553,3987.237793,3733.749756,3951.599854,3951.599854,69110769320
2019-03-11,3953.740234,4077.036377,3863.559082,4025.229004,4025.229004,67357766371
2019-03-18,4029.968506,4097.359863,4005.151367,4022.168213,4022.168213,67975640775
2019-03-25,4024.112793,4296.806641,3934.031250,4105.404297,4105.404297,71015021591
2019-04-01,4105.362305,5307.003418,4096.901367,5198.896973,5198.896973,123047080530
2019-04-08,5199.835449,5421.651367,4955.852539,5167.722168,5167.722168,98826873355
2019-04-15,5167.321777,5359.924805,5024.069336,5314.531250,5314.531250,90285516253
2019-04-22,5312.494629,5642.044434,5177.368652,5285.139160,5285.139160,105590631334
